OBJECTID *,OBJECTID,DB,pedon_id,obs_date,x_std,y_std,cl,si,sa,Shape *,Y,X,IAphysregionsv4,IA_slp9m,IA_rel135m,IA_prc63m,TWI30m,IA_DHPFP,Cedar,Nish,DesMoines,Iowa2,Missouri2
39,2193,NASIS,1983IA053211,39517,-93.680809,40.67878,20.1,78.099998,1.8,Point,4503323,442465.2,12,0.301929,5.960022,0.000093,9.793108,1,-207625.3,157313,-92314.95,-164954.6,175157.8
40,2485,NASIS,Armstrong-IA053-03-01,39666,-93.632774,40.651501,30,65,5,Point,4500263,446503.2,12,3.518676,10.72003,0.004079,6.289937,3,-204881.1,162102.3,-94316.75,-166304.6,179106.3
41,3434,NASIS,Armstrong-IA053-03-02,39666,-93.633972,40.650917,27,68,5,Point,4500200,446401.2,12,2.294138,9.669983,0.000231,6.272512,2,-205009.7,162043.6,-94435.22,-166433.2,179005.5
42,3435,NASIS,Armstrong-IA053-03-03,39666,-93.634056,40.651722,29,66,5,Point,4500290,446395.2,12,4.036302,14.07996,0.001732,6.471545,3,-204974.8,162008.6,-94337.38,-166339.4,179006.3
43,8633,NASIS,1990IA053030,42026,-93.672372,40.643186,21.4,32.200001,5.1,Point,4499366,443149.2,12,2.817977,8.350037,0.001542,6.874452,2,-208381.7,159243.5,-95948.32,-168356.6,175701
44,13501,NCSS,S1959IA185001,7/17/1959,-93.266388,40.681667,21.3,77.5,1.2,Point,4503455,477490.2,12,4.299915,1.820007,-0.000313,9.363332,3,-174888.2,190536,-73437.05,-150670.8,210152.6
45,13528,NCSS,S1969IA007003,11/4/1969,-92.999443,40.65889,21.5,75.6,2.9,Point,4500893,500047.2,12,0.071159,5.259949,0.00013,7.001886,1,-155592.6,212897.1,-60875.69,-145634.1,232609.5
46,14893,NCSS,1969IA007002,11/3/1969,-93.015274,40.645001,28.4,68.7,2.9,Point,4499351,498709.2,12,5.191013,-1.659973,0.002438,6.467656,3,-157435.1,212045,-62837.65,-147537.5,231300.8
47,13572,NCSS,S1971IA007001,10/1/1971,-92.767502,40.655277,23.5,68.3,8.2,Point,4500518,519655.2,12,0.225044,-0.580017,-0.000643,7.190371,6,-138639.5,231961.1,-48659.02,-136731.7,252205.7
48,13613,NCSS,1971IA007002,10/1/1971,-92.753334,40.693054,39.9,55.4,4.7,Point,4504715,520840.2,12,3.17738,0.880035,0.000959,7.5992,3,-135483.2,232145,-44872.82,-133353.7,253468.7
49,8632,NASIS,1991IA051030,39269,-92.617292,40.646722,21.4,32.200001,5.1,Point,4499612,532357.3,12,2.46124,6.980042,0.000957,7.040268,2,-128413.9,244508.9,-41188.59,-127142.5,264901.2
50,2192,NASIS,1981IA051211,39517,-92.293701,40.668621,24.5,72.400002,3.1,Point,4502213,559696.3,12,0.171275,0.059998,-0.000345,8.734213,1,-104961.8,270557.3,-24496.94,-104547.1,292319.8
51,8630,NASIS,1991IA051050,41985,-92.294114,40.664047,27,<Null>,<Null>,Point,4501703,559666.3,12,1.610117,0.73999,0.000053,8.112334,2,-105287.8,270786,-24964.97,-104884.9,292314.4
52,1055,NASIS,92IA177062,33829,-92.110275,40.684444,25,45,30,Point,4504109,575182.3,12,8.463024,1.959991,-0.00027,6.003507,3,-92361.25,283212.5,-10846.2,-92207.7,307845.6
53,1065,NASIS,92IA177072,33848,-92.13028,40.688888,32,58,10,Point,4504586,573487.3,12,2.600189,0.069977,0.000542,8.321872,2,-93196.67,281476.6,-12271.1,-93021.34,306154.9
54,1051,NASIS,92IA177057,33827,-91.913055,40.656944,27,48,25,Point,4501244,591886.3,12,9.741432,7.480011,-0.000749,6.489928,3,-83933.84,299325.7,8229.824,-83106.2,324509.6
55,1361,NASIS,88IA177002,32468,-91.878891,40.66111,32,65,3,Point,4501742,594769.3,12,2.085638,5.980011,0.000949,10.09676,2,-81907.57,301690.3,-6262.587,-80595.91,327413.8
56,5362,NASIS,1988IA177001,32468,-91.877777,40.662777,18,79,3,Point,4501928,594862.3,12,0.231711,2.269989,0.000062,9.516823,1,-81739.89,301600.9,-6103.278,-80462.79,327415.6
57,1056,NASIS,92IA177063,33829,-91.798058,40.649166,18,79,3,Point,4500506,601621.3,12,0.675179,11.75,0.000149,7.749656,1,-79554.01,308359,-3705.401,-76522.02,334204.3
58,1364,NASIS,88IA177021,32484,-91.791115,40.647221,20,40,40,Point,4500299,602209.3,12,17.331648,3.369995,-0.003233,6.354301,3,-79447.34,308985.6,-3125.7,-76230.84,334803.4
59,1050,NASIS,92IA177056,33826,-91.765274,40.685833,22,58,20,Point,4504616,604336.3,16,3.079187,-29.51001,-0.00247,5.341434,3,-74664.72,309007,632.4555,-71740.92,336949.9
60,1057,NASIS,92IA177064,33829,-91.743614,40.65361,15,25,60,Point,4501064,606217.3,16,3.023645,-16.14999,-0.001092,6.650704,3,-76932.44,312230.6,894.4272,-72832,338807.8
61,4569,NASIS,2010IA17780001,34851,-91.736946,40.665279,20.6,76.199997,3.2,Point,4502369,606760.3,16,3.372239,18.92999,0.005201,5.763941,3,-75544.02,312119,1500,-71559.2,339319.1
62,14206,NCSS,1995IA111001,8/15/1995,-91.715279,40.686943,30.7,60.5,8.8,Point,4504799,608557.3,16,1.984553,0.25,-0.000185,9.077826,4,-72603.72,312723.9,3966.106,-68589.36,341152.8
63,8647,NASIS,1979IA111050,29057,-91.709587,40.686001,23,70,7,Point,4504703,609040.3,16,1.54987,-0.290009,-0.000146,12.7599,4,-72483.1,313219.4,4341.659,-68306.52,341650.9
64,2196,NASIS,1970IA111211,39517,-91.634979,40.67738,21.1,76.5,2.4,Point,4503839,615361.3,16,1.247671,1.880005,0.00033,8.734126,1,-70826.34,319275,10183.32,-64470.54,347937.4
