OBJECTID *,DB,pedon_id,obs_date,x_std,y_std,cl,si,sa,Shape *,IA_slp9m,IA_rel135m,IA_prc63m,TWI30m,VDCN_10m,IA_DHPFP,Cedar,Nish,Iowa,DesMoines,Missouri,IAphysregionsv4,X_100,Y_100
32,NASIS,1967IA071001,24512,-95.57615,40.769431,24.5,71.099998,4.3,Point,0.452289,-0.01001,0.000048,18.0436,1.765961,6,-324840.6,1600,-259320.8,-186222.5,21636.31,14,282615.5,4516374
33,NASIS,1968IA071026,41060,-95.451581,40.771394,29.700001,66.5,3.8,Point,0.957504,10.23004,0.00459,6.481299,45.85742,1,-316577.4,11985.41,-250797.2,-178031.4,30679.15,14,293115.5,4516274
34,NASIS,1973IA145006,41071,-95.362481,40.769908,21.5,73.900002,4.6,Point,0.969479,1.819946,0.000232,8.209388,1.62384,6,-310964.7,19378.6,-245000.5,-172030.6,37345.01,14,300615.5,4515874
35,NASIS,1989IA173021,41086,-94.833286,40.767286,28.1,38,33.900002,Point,7.379361,-11.36005,-0.000535,8.498153,10.72424,3,-278600.1,63526.77,-211926.1,-136452.4,79486.16,12,345315.5,4514574
36,NCSS,S2008IA173001,8/12/2008,-94.605637,40.781666,40.9,55.2,3.9,Point,7.180351,-4.049988,-0.001642,12.52471,16.38425,3,-264481.5,81040.05,-197779.4,-121695.6,98576.92,12,364515.5,4515774
37,NASIS,1985IA159001,31296,-94.415567,40.798206,30.1,67.599998,2.3,Point,4.592356,-8.349976,-0.000621,8.131737,12.08368,3,-251008,94679.25,-186063.6,-109810.6,114701.7,12,380615.5,4517274
38,NASIS,1966IA071001,24158,-95.406725,40.787064,27.200001,46,26.700001,Point,13.351992,-6.740051,-0.001169,7.592727,14.47354,3,-312602.4,15339.49,-246782.3,-174079.9,34795.55,14,296915.5,4517874
39,NASIS,1973IA145002,41071,-95.327922,40.804144,26.5,70.599998,2.9,Point,0.653107,0.700012,0.000291,8.052172,0.487091,6,-306305.6,21822.92,-240380.9,-167565.9,41588.58,14,303615.5,4519574
40,NASIS,1973IA145021,41073,-95.334467,40.806589,38.099998,60.799999,1.1,Point,0.675247,-1.110046,0.000058,10.10577,1.025726,6,-306507.1,21295.3,-240603,-167847.2,41111.19,14,303115.5,4519874
41,NASIS,1968IA145001,25142,-95.338083,40.799686,29.4,65.800003,4.8,Point,0.82633,0.110046,0.000148,8.412287,3.257568,6,-307257.4,20946.84,-241341.6,-168544.9,40603.7,14,302715.5,4519174
42,NASIS,1973IA145001,41071,-95.091869,40.817064,33,55,12,Point,4.704253,1.779968,-0.000199,6.907817,35.17615,3,-290344.1,41239.3,-224028.1,-150074.5,60280.01,13,323615.5,4520574
43,NASIS,1989IA173026,41093,-94.493167,40.802833,28.9,68.300003,2.8,Point,0.586929,0.790039,-0.000066,9.259645,23.97992,1,-255872.4,88417.02,-189829.2,-113575.4,108315.3,12,374015.5,4517974
44,NASIS,1983IA159004,30551,-94.435672,40.824389,32.200001,65.699997,2.1,Point,1.960425,6.98999,0.001528,8.734651,28.31964,2,-250564,91902.39,-184892.3,-108607.6,113554,12,378915.5,4520274
45,NASIS,1983IA159007,42775,-94.4582,40.813894,32.700001,65.300003,2,Point,0.547595,5.079956,0.000814,7.766479,25.52399,1,-252805.1,90656.49,-187037.7,-110760.5,111464.1,12,377015.5,4519074
46,NASIS,1983IA159009,30494,-94.448142,40.814253,34.299999,58.700001,7,Point,2.045302,-1.810059,0.00033,7.775485,25.89349,2,-252022.6,91434.02,-186378,-110093.8,112367.3,12,377915.5,4519174
47,NASIS,1985IA173002,31244,-94.474533,40.813272,36.799999,57.200001,6,Point,2.80044,-0.909973,0.00057,9.081443,14.37619,2,-253931.7,89385.91,-187950.1,-111688.2,110087.8,12,375615.5,4519074
48,NCSS,1992IA159102,6/2/2014,-94.447775,40.813869,29.3,64.6,6.1,Point,2.974746,-1.119995,-0.000017,11.09209,25.76941,3,-252082.2,91475.3,-186454.3,-110169.4,112349.2,12,377915.5,4519074
49,NASIS,1984IA159001,30859,-94.375881,40.814117,28,37,35,Point,6.058644,-0.089966,0.001443,6.173851,8.665436,3,-247293,96970.77,-182528.5,-106339.5,118255.4,12,383915.5,4519074
50,NASIS,1984IA159211,39517,-94.188164,40.851768,28.9,69.400002,1.7,Point,0.190977,-0.029968,0.000133,9.036272,30.22382,5,-232392.8,110527.1,-169361.8,-93938.28,134593.5,12,399815.5,4522974
51,NCSS,1992IA159103,11/1/1985,-94.045555,40.818611,33.8,62.4,3.8,Point,6.727467,8.690002,0.001908,6.385046,28.04245,3,-225718.1,123114.3,-165359.5,-91183.16,145833.9,12,411815.5,4519174
52,NASIS,1968IA071033,41060,-95.556081,40.88235,28.9,66.199997,4.9,Point,0.413983,0.02002,-0.001322,9.338872,2.218719,6,-315845.9,1897.367,-250759.3,-177293.4,21339.63,14,284615.5,4528874
53,NASIS,1968IA071047,41071,-95.399028,40.872356,36.299999,62.5,1.2,Point,2.418488,-2.25,-0.001359,7.920296,3.868073,4,-306081.4,15028.31,-240564,-167464.9,34613.44,14,297815.5,4527374
54,NASIS,1973IA145012,41073,-95.279789,40.887206,27.700001,64,8.3,Point,0.405119,-0.160034,-0.000217,10.95978,1.673615,6,-297218.2,23545.91,-231483.9,-158662,44621.97,14,307915.5,4528774
55,NASIS,Y05IA003013,38594,-94.910057,40.901165,40,57.5,2.5,Point,0.351633,-0.099976,-0.000139,10.72341,2.385437,6,-272774.3,52206.7,-206367.5,-132192.6,75802.38,13,339115.5,4529574
56,NASIS,1985IA173001,31251,-94.906208,40.877236,24.700001,71.099998,4.2,Point,0.355729,0.320007,0.000137,10.9313,4.043274,1,-274363.4,53611.29,-207900.4,-133488,76171.52,13,339415.5,4526874
57,NASIS,1984IA173001,30791,-94.873447,40.858847,23.200001,49.299999,27.5,Point,2.143084,13.52002,0.000565,6.161314,24.29404,2,-273804.7,56900.35,-207267.7,-132540.3,78984.81,13,342115.5,4524774
58,NASIS,1989IA173006,41075,-94.526036,40.868692,39,59.200001,1.8,Point,1.665872,2.26001,0.000932,9.153768,18.71072,2,-252813.2,83046.98,-186108.4,-110096.5,107323.1,13,371415.5,4525274
59,NASIS,1983IA159002,30504,-94.470453,40.890928,29.6,68,2.4,Point,1.423137,8.969971,0.003099,7.75417,25.37634,2,-247874.3,86573.03,-181171.3,-105077.6,112476.2,13,376115.5,4527674
60,NASIS,1983IA159006,30504,-94.424283,40.854289,34.700001,63.700001,1.6,Point,0.213519,-13.47998,-0.000296,9.169937,4.10321,5,-247804.2,91569.54,-181734,-105467.8,115201.1,12,379915.5,4523574
