OBJECTID *,DB,pedon_id,obs_date,x_std,y_std,cl,si,sa,Shape *,IA_slp9m,IA_rel135m,IA_prc63m,TWI30m,VDCN_10m,IA_DHPFP,Cedar,Nish,Iowa,DesMoines,Missouri,IAphysregionsv4,X_100,Y_100
412,NASIS,Armstrong-IA053-02-02,39665,-93.580719,40.727112,27,68,5,Point,2.637877,16.16003,0.004212,6.380339,37.69214,2,-197927.7,163563.2,-156902.8,-85230.34,183766.9,12,450915.5,4508674
413,NASIS,85IA1850061,31382,-93.491669,40.75,25,71,4,Point,1.822471,2.089966,0.000504,11.29493,23.20108,2,-189959.2,170178.9,-151756.5,-79105.12,191495.4,12,458515.5,4511074
414,NASIS,85IA1850062,31382,-93.491669,40.75,30,66,4,Point,1.822471,2.089966,0.000504,11.29493,23.20108,2,-189959.2,170178.9,-151756.5,-79105.12,191495.4,12,458515.5,4511074
415,NCSS,S1962IA185002,10/16/1962,-93.394165,40.702221,30.5,66.3,3.2,Point,2.294995,3.369995,0.000523,8.082914,16.91708,2,-184041.4,179526.1,-152776.5,-77991.86,199422.9,12,466715.5,4505774
416,NCSS,S1962IA185001,10/15/1962,-93.384445,40.701946,25.7,71,3.3,Point,1.98233,1.279968,0.00083,10.40836,19.10516,2,-183294.8,180293.2,-152439.4,-77525.8,200222.4,12,467515.5,4505774
417,NCSS,S1962IA185003,10/16/1962,-93.384445,40.702499,28.1,68.2,3.7,Point,2.561563,3.700012,0.000737,9.155017,18.64404,2,-183294.8,180293.2,-152439.4,-77525.8,200222.4,12,467515.5,4505774
418,NASIS,83IA185001,30590,-93.377502,40.730835,30,52,18,Point,2.135307,-5.210022,-0.000323,8.839218,4.375214,4,-181604,179990.7,-149284.7,-74582.1,200959,12,468115.5,4508974
419,NASIS,83IA185002,30590,-93.378334,40.73111,30,45,25,Point,2.285691,-5.840027,-0.000376,6.321498,3.020111,4,-181697.8,179894.3,-149327.2,-74641.55,200859.2,12,468015.5,4508974
420,NCSS,S1962IA185004,10/17/1962,-93.145554,40.716667,27.6,68.5,3.9,Point,2.928536,-0.98999,-0.000184,8.193487,16.12509,3,-164014.9,199368.4,-143705.6,-63499.61,220463.9,12,487715.5,4507274
421,NCSS,S1962IA185005,10/17/1962,-93.146111,40.716946,33,63.4,3.6,Point,3.311147,2.309998,0.000241,7.569427,16.36154,3,-164067.6,199246.7,-143640.8,-63498.82,220367.9,12,487615.5,4507374
422,NCSS,S1962IA185006,10/18/1962,-93.146111,40.716389,22.5,73.5,4,Point,1.52787,3.47998,0.001051,7.127455,17.65286,2,-164106.9,199271.6,-143736,-63569.88,220364,12,487615.5,4507274
423,NCSS,87IA051002,6/1/1988,-92.508333,40.725,30.3,66.4,3.3,Point,9.854413,-5.409973,-0.001741,5.942283,4.672516,3,-115881.7,251607.4,-114460.9,-28937.52,274268.1,12,541515.5,4508374
424,NCSS,87IA051001,6/1/1988,-92.508333,40.725,39.6,58,2.4,Point,9.854413,-5.409973,-0.001741,5.942283,4.672516,3,-115881.7,251607.4,-114460.9,-28937.52,274268.1,12,541515.5,4508374
425,NASIS,92IA177070,33848,-92.144997,40.696388,18,70,12,Point,0.805187,-0.459991,-0.000328,7.785872,0.149582,6,-93562.01,279953.2,-93344.95,-13319.53,304871.4,12,572215.5,4505374
426,NASIS,88IA177015,32483,-92.089722,40.711388,25,72,3,Point,1.219869,2.059998,0.000368,12.23719,17.509,1,-89027.02,283329.7,-88872.16,-8386.299,309611.3,12,576915.5,4507074
427,NASIS,88IA177008,32478,-92.106941,40.708889,35,53,12,Point,3.664384,0.970001,-0.000731,7.361529,15.82402,3,-90227.27,282088.9,-90044.93,-9899.495,308106.5,12,575415.5,4506874
428,NASIS,1993IA177001,34121,-92.106941,40.708889,38,58.400002,3.6,Point,3.664384,0.970001,-0.000731,7.361529,15.82402,3,-90227.27,282088.9,-90044.93,-9899.495,308106.5,12,575415.5,4506874
429,NASIS,88IA177014,32483,-92.02861,40.701111,18,79,3,Point,3.139802,7.380005,0.000333,7.900084,25.56192,3,-86267.73,288325.3,-86068.93,-3883.298,314684.7,12,582015.5,4506074
430,NASIS,92IA177065,33835,-91.81472,40.742222,20,45,35,Point,5.533626,-1.019989,0.001241,5.922642,16.06076,3,-71474.33,302582.3,-70718.67,3889.73,332916.3,16,600115.5,4510774
431,NASIS,92IA177068,33836,-91.852776,40.711666,10,25,65,Point,17.393035,-16.95001,-0.004201,6.879009,7.330231,3,-76077.98,301121.2,-75349.91,-670.8204,329612.2,12,596915.5,4507374
432,NASIS,S1992IA177003,33896,-91.766113,40.692223,22,48,30,Point,15.281797,-3.850006,-0.004707,18.10587,0.007629,3,-74095.07,308617.7,-71338.21,989.9495,336862.7,16,604215.5,4505374
433,NASIS,S1992IA177005,33896,-91.778336,40.702778,28,57,15,Point,27.997119,3.099976,0.002882,5.726644,6.262146,3,-73528.5,307202.4,-71231.24,1486.607,335888.3,16,603215.5,4506474
434,NASIS,92IA177066,33835,-91.766113,40.692223,15,25,60,Point,15.281797,-3.850006,-0.004707,18.10587,0.007629,3,-74095.07,308617.7,-71338.21,989.9495,336862.7,16,604215.5,4505374
435,NASIS,92IA177067,33835,-91.779724,40.702221,22,75,3,Point,8.951195,12.60999,0.002384,5.662042,18.44945,3,-73664.78,307154.3,-71372.62,1360.147,335786,16,603115.5,4506374
436,NASIS,92IA177073,33896,-91.766113,40.692223,22,48,30,Point,15.281797,-3.850006,-0.004707,18.10587,0.007629,3,-74095.07,308617.7,-71338.21,989.9495,336862.7,16,604215.5,4505374
437,NASIS,92IA177074,33896,-91.778336,40.702778,26,59,15,Point,27.997119,3.099976,0.002882,5.726644,6.262146,3,-73528.5,307202.4,-71231.24,1486.607,335888.3,16,603215.5,4506474
438,NCSS,S1992IA177003,10/19/1992,-91.766113,40.692223,15,46.1,38.9,Point,15.281797,-3.850006,-0.004707,18.10587,0.007629,3,-74095.07,308617.7,-71338.21,989.9495,336862.7,16,604215.5,4505374
439,NCSS,S1992IA177005,10/19/1992,-91.778336,40.702778,21.7,42.7,35.6,Point,27.997119,3.099976,0.002882,5.726644,6.262146,3,-73528.5,307202.4,-71231.24,1486.607,335888.3,16,603215.5,4506474
440,NASIS,1988IA053002,41436,-93.931494,40.780425,19.799999,24.4,<Null>,Point,13.581347,1.210022,0.000006,5.966819,29.29691,3,-221696.9,133606.3,-163960.2,-89627.51,154828.9,12,421415.5,4514774
441,NASIS,83IA185003,30590,-93.475555,40.783333,43,41,16,Point,6.528867,2.75,0.001252,6.348002,7.797821,3,-187475.2,170577,-147839.8,-75457.87,193163.8,12,459915.5,4514774
442,NASIS,83IA185004,30590,-93.47583,40.783611,28,57,15,Point,3.593756,4.479919,0.001379,5.931574,10.00964,3,-187540.1,170455.4,-147800.7,-75455.75,193072.5,12,459815.5,4514874
443,NASIS,83IA185005,30590,-93.47583,40.78389,30,67,3,Point,2.457438,7.200012,0.000243,6.060666,11.07352,2,-187540.1,170455.4,-147800.7,-75455.75,193072.5,12,459815.5,4514874
444,NASIS,83IA185006,30590,-93.47583,40.784168,25,72,3,Point,7.690929,5.300049,0.00165,6.236643,10.01462,3,-187540.1,170455.4,-147800.7,-75455.75,193072.5,12,459815.5,4514874
445,NASIS,84IA1850031,30987,-93.48333,40.769444,35,55,10,Point,0.407739,1.569946,0.000011,7.774357,19.75766,1,-188602.1,170276.6,-149491.3,-77024.22,192347.3,12,459215.5,4513274
446,NASIS,84IA1850032,31017,-93.48333,40.769444,33,63,4,Point,0.407739,1.569946,0.000011,7.774357,19.75766,1,-188602.1,170276.6,-149491.3,-77024.22,192347.3,12,459215.5,4513274
447,NASIS,84IA1850041,31017,-93.48333,40.769444,24,72,4,Point,0.407739,1.569946,0.000011,7.774357,19.75766,1,-188602.1,170276.6,-149491.3,-77024.22,192347.3,12,459215.5,4513274
448,NASIS,84IA1850042,30987,-93.48333,40.769444,25,71,4,Point,0.407739,1.569946,0.000011,7.774357,19.75766,1,-188602.1,170276.6,-149491.3,-77024.22,192347.3,12,459215.5,4513274
449,NASIS,84IA1850043,30987,-93.48333,40.769444,26,70,4,Point,0.407739,1.569946,0.000011,7.774357,19.75766,1,-188602.1,170276.6,-149491.3,-77024.22,192347.3,12,459215.5,4513274
450,NCSS,S1971IA185001,10/1/1971,-93.273888,40.804722,38.3,58.2,3.5,Point,0.477454,2.820007,-0.000548,8.561603,2.563629,6,-170606.7,186594,-138291.9,-62879.73,210297.7,12,476915.5,4517074
451,NCSS,1979IA007057,11/1/1969,-92.98463,40.78821,20.5,74.6,4.9,Point,4.080589,3.380005,-0.00019,6.874736,13.14743,3,-148378.2,210844.6,-132003.8,-48423.55,234481.3,12,501315.5,4515274
452,NASIS,94IA177080,34428,-91.981941,40.752224,25,65,10,Point,4.815764,-5.940002,-0.00062,9.063608,6.999191,3,-79422.54,289298.8,-79236.86,-282.8427,318765.2,12,585915.5,4511774
453,NASIS,1992IA177061,33845,-91.982529,40.796639,24,66,10,Point,34.825217,-9.640015,-0.00189,8.799694,11.95056,3,-75943.4,287124.8,-75781.33,100,318902.8,16,585815.5,4516674
454,NASIS,1988IA177016,32483,-91.847167,40.792189,20,77,3,Point,0.300259,3.839966,0.000341,7.138547,26.50436,1,-68612.32,297639,-68342.16,5841.233,330269.3,16,597215.5,4516374
455,NCSS,S2008IA053001,8/13/2008,-93.767197,40.839695,30.7,56.5,12.8,Point,5.395265,5.410034,-0.000097,7.064978,18.05292,3,-207266.1,145133.9,-151567.9,-77588.98,169400.9,12,435315.5,4521274
456,NCSS,S1971IA185002,10/1/1971,-93.432503,40.819443,29.9,67.7,2.4,Point,4.40963,11.86005,0.000543,6.157444,21.41708,3,-182849.7,173143.9,-142602.8,-70080.31,197117.3,12,463515.5,4518774
457,NASIS,2007IA185002,39269,-93.130691,40.818832,21.4,32.200001,5.1,Point,2.448466,7.23999,0.001718,6.560531,31.48657,2,-158650.1,198117.6,-132468.9,-54703.02,222491.7,12,489015.5,4518674
458,NASIS,1991IA051001,32608,-92.325508,40.838964,19.799999,24.4,<Null>,Point,15.93869,1.26001,0.001425,5.956343,15.37335,3,-96152.9,259070.9,-94582.88,-10023.97,290257.9,12,556815.5,4521074
459,NASIS,1991IA051001,42066,-92.345747,40.844469,21,76,3,Point,1.173745,17.06,0.000356,8.13607,30.46227,1,-97291.16,257282,-95561.76,-10463.75,288609.9,12,555115.5,4521674
460,NASIS,91IA177049,33469,-92.118332,40.854168,18,47,35,Point,0.614749,-0.649994,-0.000148,12.53113,1.273941,6,-80586.97,274045.5,-79930.28,447.2136,307852.7,12,574315.5,4522974
461,NASIS,1988IA177012,32482,-92.110511,40.828203,15,82,3,Point,4.574136,12.04999,0.001708,6.853262,40.75792,3,-81777.26,275896.5,-81230.35,-1697.056,308336.6,12,575015.5,4520074
462,NASIS,1991IA177050,33470,-92.115196,40.847012,18,72,10,Point,0.957532,-5.750031,-0.000187,8.276121,4.601013,5,-80820.36,274651.3,-80196.88,-100,308089.9,12,574615.5,4522174
463,NCSS,S1992IA177002,3/3/1992,-92.118332,40.854168,10.2,47.2,42.6,Point,0.614749,-0.649994,-0.000148,12.53113,1.273941,6,-80586.97,274045.5,-79930.28,447.2136,307852.7,12,574315.5,4522974
464,NASIS,91IA177034,33455,-92.003334,40.848888,18,77,5,Point,7.01896,-2.269989,0.000693,6.973725,13.1998,3,-73301.84,283099.8,-72927.7,5243.091,317485.8,16,584015.5,4522474
465,NASIS,90IA177023,33112,-91.929443,40.853333,18,77,5,Point,7.427208,6.890015,0.000903,7.146973,23.71359,3,-68318.38,288545.9,-68107.63,7147.027,323713.3,16,590215.5,4523074
466,NASIS,92IA177069,33847,-91.986946,40.84528,15,73,12,Point,1.368818,-2.149994,0.000115,8.647928,3.986389,5,-72515.93,284542.2,-72198.41,5333.854,318852.5,16,585415.5,4522074
467,NASIS,90IA177031,33116,-91.848892,40.854999,18,62,20,Point,1.879229,-0.019989,-0.000222,7.018654,12.47137,4,-63447.62,294730.8,-63255.83,11401.75,330509.3,16,597015.5,4523274
468,NCSS,1985IA087101,10/1/1985,-91.588933,40.828325,29.5,67.9,2.6,Point,2.992978,0.100006,-0.000856,7.436344,20.96049,3,-53816.36,316093.7,-49998.5,22344.57,352281.4,16,619015.5,4520674
469,NASIS,1985IA039001,31159,-94.009267,40.898117,22.700001,75.099998,2.2,Point,4.700555,-1.420044,0.000512,7.129048,0.197144,3,-217516.2,123819.9,-156293.3,-82221.41,150460.6,12,415015.5,4527974
470,NASIS,1990IA053103,42065,-93.750242,40.865925,33,62,5,Point,3.794045,2.910034,0.000043,7.496916,20.60367,3,-204146.2,145911.4,-148302.9,-74332.84,171293.7,12,436815.5,4524174
471,NCSS,1990IA053103,6/21/2007,-93.750242,40.865925,30.7,66.1,3.2,Point,3.794045,2.910034,0.000043,7.496916,20.60367,3,-204146.2,145911.4,-148302.9,-74332.84,171293.7,12,436815.5,4524174
472,NASIS,S2007IA053001,39254,-93.597221,40.882221,33,62,5,Point,1.915751,5.799988,0.001179,7.324514,21.51694,2,-194039.2,158167.7,-141315.9,-68639.13,184303.3,12,449715.5,4525874
473,NASIS,S2007IA185001,39224,-93.459168,40.883335,27,68,5,Point,0.860025,6.080017,0.001157,6.376805,20.6843,1,-183048.2,169522.4,-137243.2,-65687.52,195784.6,12,461315.5,4525874
474,NCSS,S2007IA185001,5/22/2007,-93.459168,40.883335,33.8,63.7,2.5,Point,0.860025,6.080017,0.001157,6.376805,20.6843,1,-183048.2,169522.4,-137243.2,-65687.52,195784.6,12,461315.5,4525874
475,NASIS,85IA1850051,31382,-93.174721,40.891945,50,32,18,Point,3.17523,0.109985,-0.00129,8.237348,24.61978,3,-159672.3,192525,-126126.8,-50152.27,219691.6,12,485315.5,4526774
476,NASIS,85IA1850052,31382,-93.174721,40.891945,42,40,18,Point,3.17523,0.109985,-0.00129,8.237348,24.61978,3,-159672.3,192525,-126126.8,-50152.27,219691.6,12,485315.5,4526774
477,NASIS,85IA1850053,31382,-93.175552,40.891945,33,49,18,Point,2.176575,5.690002,0.000638,6.560772,28.94031,2,-159768.2,192429.9,-126163.4,-50206.38,219592.4,12,485215.5,4526774
478,NASIS,85IA1850054,31382,-93.175552,40.891666,24,72,4,Point,1.642485,7.130005,0.000962,6.166158,29.5322,2,-159768.2,192429.9,-126163.4,-50206.38,219592.4,12,485215.5,4526774
479,NASIS,85IA1850055,31382,-93.174721,40.891945,32,64,4,Point,3.17523,0.109985,-0.00129,8.237348,24.61978,3,-159672.3,192525,-126126.8,-50152.27,219691.6,12,485315.5,4526774
480,NASIS,85IA1850056,31382,-93.175552,40.891945,42,54,4,Point,2.176575,5.690002,0.000638,6.560772,28.94031,2,-159768.2,192429.9,-126163.4,-50206.38,219592.4,12,485215.5,4526774
481,NASIS,1977IA007001,32608,-92.87852,40.8719,19.799999,24.4,<Null>,Point,4.865464,-2.75,0.00063,8.266828,11.40128,3,-136706.7,216536.1,-119837.6,-35592.41,244166.9,12,510215.5,4524574
482,NASIS,1973IA179211,39517,-92.606247,40.91671,21.299999,75.699997,2.9,Point,0.477337,3.330017,0.000368,10.30895,29.0119,1,-113534.1,234088.5,-107181,-17944.92,267479.2,12,533115.5,4529574
483,NCSS,S1995IA051001,8/15/1995,-92.618515,40.864464,19,62.3,18.7,Point,12.458527,-9.480011,-0.001904,9.50439,14.9566,3,-116726,235922.5,-113024.6,-23120.55,265878,12,532115.5,4523774
484,NASIS,1991IA051001,42731,-92.52064,40.8699,19.799999,24.4,<Null>,Point,9.282941,3.01001,0.000599,6.727678,17.51805,3,-108907.8,242916.5,-106158.6,-17171.2,274207,12,540415.5,4524474
485,NASIS,1992IA177071,33848,-92.155281,40.86972,20,65,15,Point,0.586871,-1.369995,-0.000926,10.39725,2.015717,6,-82131.23,270519.6,-81259.09,0,304902,12,571215.5,4524674
486,NASIS,2010IA05180002,29838,-92.197922,40.875133,20.5,77.099998,2.4,Point,2.135528,12.21002,0.002752,6.82044,42.21251,2,-84843.21,267038.1,-83626.85,-583.0952,301358.6,12,567615.5,4525174
487,NASIS,1991IA177048,33466,-92.167145,40.882626,35,58,7,Point,0.954841,-0.480011,-0.00036,8.951371,0.143463,6,-82178.95,269030.7,-81071.33,1000,304028.2,12,570215.5,4526074
488,NASIS,90IA177030,33115,-91.903053,40.885834,18,62,20,Point,12.305757,-10.27002,-0.003554,9.926338,0.801239,3,-64245.16,289179.5,-63994.14,11292.48,326195.3,16,592415.5,4526674
489,NASIS,90IA177030,33115,-91.903053,40.885834,18,62,20,Point,12.305757,-10.27002,-0.003554,9.926338,0.801239,3,-64245.16,289179.5,-63994.14,11292.48,326195.3,16,592415.5,4526674
490,NASIS,90IA177022,33112,-91.735558,40.880001,20,70,10,Point,8.284789,1.860016,0.002448,12.19147,21.00958,3,-55180.61,302447.7,-54866.57,19333.13,340205.2,16,606515.5,4526174
491,NCSS,S1992IA177001,8/8/1991,-91.77639,40.896946,14.7,79.3,6,Point,1.761701,8.060028,0.004243,6.093582,7.914841,2,-55816.21,298588.8,-55599.01,18866.37,336976.2,16,603115.5,4528074
492,NASIS,Armstrong-IA039-01-01,39708,-93.833336,40.94278,28,67,5,Point,4.04297,14.19,0.002817,5.925671,20.78702,3,-203241.4,137276.8,-144196.8,-69851.63,165920.9,12,429815.5,4532774
493,NASIS,Armstrong-IA039-01-02,39708,-93.834168,40.943054,28,67,5,Point,2.330298,11.5,0.000207,8.098696,20.61304,2,-203241.4,137276.8,-144196.8,-69851.63,165920.9,12,429815.5,4532774
494,NASIS,Armstrong-IA039-02-02,39708,-93.833336,40.94278,22,73,5,Point,4.04297,14.19,0.002817,5.925671,20.78702,3,-203241.4,137276.8,-144196.8,-69851.63,165920.9,12,429815.5,4532774
495,NASIS,1983IA039211,39517,-93.576492,40.918411,23.5,74.699997,1.8,Point,0.477357,1.809998,0.000066,9.467112,23.47958,1,-189941,158990.9,-136969.7,-64354.8,186609.8,12,451415.5,4529874
496,NASIS,1999IA117103,42066,-93.417125,40.968011,26,69,5,Point,4.951388,-0.809998,-0.001564,11.15652,23.72241,3,-176928.6,170506,-127189.1,-55646.47,200844.5,12,464915.5,4535274
497,NASIS,1988IA117211,39517,-93.353828,40.94635,24.9,72.699997,2.4,Point,0.407602,1.890015,0.000338,7.848864,23.46265,1,-172737.1,176282.6,-127016.3,-55200.73,205646.9,12,470215.5,4532874
498,NASIS,2003IA117-01-002,39709,-93.104721,40.972778,27,68,5,Point,6.756824,5.52002,0.001548,5.744486,23.3783,3,-151635.4,194482.5,-115614,-39391.37,226837.9,12,491215.5,4535774
499,NASIS,2003IA117-01-003,39709,-93.102776,40.972778,33,45,22,Point,8.448003,7.52002,0.00033,6.458564,30.26678,3,-151538.3,194568,-115579.3,-39337.64,226936.6,12,491315.5,4535774
500,NASIS,S77IA135_211,39517,-93.026184,40.931316,23.5,74.900002,1.6,Point,0.318345,0.769958,-0.000086,10.26734,35.99878,1,-146440.6,202512.2,-117889.6,-40000,232667,12,497815.5,4531174
501,NASIS,1978IA135004,28729,-93.037366,40.949654,25.299999,37.900002,36.799999,Point,2.13802,-5.619995,-0.000058,7.384698,2.817596,4,-146863.4,200619.5,-116267.6,-39051.25,231964.9,12,496815.5,4533174
502,NASIS,1975IA179055,27485,-92.342828,40.967347,26.9,63.299999,9.8,Point,0.171366,-0.570007,0.000022,8.533768,0.7229,6,-90814.09,251634.8,-87781.66,1029.563,290217.1,12,555315.5,4535374
503,NASIS,2010IA17980002,27229,-92.275352,40.951679,18,78.199997,3.7,Point,3.749345,11.47998,0.002068,6.168858,36.99081,3,-86358.9,257537.6,-83819.33,1500,295667,12,561015.5,4533674
504,NASIS,1973IA179001,26904,-92.246347,40.924072,27.299999,68,4.3,Point,0.248576,-2.509979,-0.000007,10.69814,0.863495,6,-85658.91,260984.7,-83594.55,905.5385,297703.3,12,563415.5,4530574
505,NASIS,1988IA051008,32436,-92.099968,40.926014,33,57,10,Point,7.480706,0.139984,0.002185,7.832175,11.14514,3,-74805.95,272202.7,-73630.23,7733.692,310076.4,16,575815.5,4530974
506,NASIS,1984IA039002,42231,-93.8571,41.023639,31.5,63.5,5,Point,1.06759,-12.36005,-0.000186,16.98824,0.93689,6,-198752.6,133339,-137621.3,-63440.05,164941,12,427915.5,4541774
507,NASIS,1984IA039999,31111,-93.848283,41.021003,27.6,29.5,13.7,Point,0.584276,-11.70996,0.003146,8.139455,1.546051,6,-198333.7,134193.2,-137428.5,-63206.41,165720.4,12,428715.5,4541474
508,NASIS,1987IA039001,41436,-93.605188,41.002401,19.799999,24.4,<Null>,Point,11.141629,2.390015,-0.000748,6.324428,18.97177,3,-184838.6,154266.1,-129410.5,-55980.36,185972.2,12,449115.5,4539174
509,NCSS,S1994IA117001,6/20/1994,-93.509934,41.006405,24,71.5,4.5,Point,0.555907,-11.72998,0.000164,12.06229,1.636475,6,-178962.6,161786.6,-125828.7,-53725.6,193982,12,457115.5,4539574
510,NCSS,S1994IA117015,8/24/1994,-93.501389,41.009724,25.2,63.7,11.1,Point,10.610835,-6.140015,-0.001829,5.834283,4.115967,3,-178190.9,162342.4,-125195.8,-53220.02,194699,12,457815.5,4539974
511,NCSS,S1994IA117002,6/21/1994,-93.509934,41.006405,25.4,68.7,5.9,Point,0.555907,-11.72998,0.000164,12.06229,1.636475,6,-178962.6,161786.6,-125828.7,-53725.6,193982,12,457115.5,4539574
512,NCSS,S1994IA117005,6/22/1994,-93.509934,41.006405,25.9,68.5,5.6,Point,0.555907,-11.72998,0.000164,12.06229,1.636475,6,-178962.6,161786.6,-125828.7,-53725.6,193982,12,457115.5,4539574
513,NCSS,S1994IA117003,6/21/1994,-93.509934,41.006405,27.3,62.7,10,Point,0.555907,-11.72998,0.000164,12.06229,1.636475,6,-178962.6,161786.6,-125828.7,-53725.6,193982,12,457115.5,4539574
514,NCSS,S1994IA117004,6/22/1994,-93.509934,41.006405,26.4,69.9,3.7,Point,0.555907,-11.72998,0.000164,12.06229,1.636475,6,-178962.6,161786.6,-125828.7,-53725.6,193982,12,457115.5,4539574
515,NASIS,2003IA117-01-001,39709,-93.104721,40.973888,23,55,22,Point,8.293633,3.220032,-0.000198,6.409088,20.99429,3,-151611.7,194430.6,-115520.3,-39307.13,226854.3,12,491215.5,4535874
516,NCSS,S1969IA135001,11/6/1969,-92.900192,40.974186,19.6,77.5,2.9,Point,1.491626,20,0.002729,5.686852,46.27571,2,-134962.3,209323.6,-110339.3,-28776.73,243838.9,12,508415.5,4535874
517,NCSS,S1995IA179001,8/18/1995,-92.600182,41.025574,41.6,47.3,11.1,Point,5.578959,-1.970001,-0.000103,6.627323,11.75595,3,-109133,229255.3,-95501.31,-8700.574,269634.7,12,533615.5,4541674
518,NASIS,S2007IA117001,39209,-93.480835,41.053333,33,62,5,Point,4.503366,8.029968,0.000819,7.185847,33.41611,3,-173477.5,162779,-120070.8,-48213.38,196770.5,12,459615.5,4544774
519,NCSS,S2007IA117001,5/7/2007,-93.480835,41.053333,36.3,60.6,3.1,Point,4.503366,8.029968,0.000819,7.185847,33.41611,3,-173477.5,162779,-120070.8,-48213.38,196770.5,12,459615.5,4544774
520,NASIS,1987IA117050,32029,-93.441481,41.041637,39,60,2,Point,3.614439,18.67004,0.001957,6.726671,31.92239,3,-172149,166301.9,-120098,-48924.94,199978.6,12,462915.5,4543474
521,NCSS,1999IA117122,11/6/1969,-93.18305,41.0525,19.9,78.1,2,Point,1.560603,17.32996,0.001487,6.764326,45.13559,2,-156285.2,184317.7,-110047.3,-36935.21,221705.3,12,484615.5,4544574
522,NCSS,S1969IA135002,11/6/1969,-92.965836,41.066944,21.5,74.3,4.2,Point,16.111311,0.200012,-0.002562,8.2724,40.30807,3,-137995.4,199641.6,-102060,-24700,240069.1,12,502915.5,4546174
523,NCSS,87IA135001,6/1/1988,-92.795833,41.083333,24.6,73.5,1.9,Point,5.461568,3.059998,0.000413,7.491603,32.21074,3,-123691.8,211589.5,-95605.86,-14420.13,254362,12,517115.5,4548074
524,NCSS,87IA135003,6/1/1988,-92.795833,41.083333,33.2,64.9,1.9,Point,5.461568,3.059998,0.000413,7.491603,32.21074,3,-123691.8,211589.5,-95605.86,-14420.13,254362,12,517115.5,4548074
525,NCSS,87IA135002,6/1/1988,-92.795833,41.083333,28.8,68.9,2.3,Point,5.461568,3.059998,0.000413,7.491603,32.21074,3,-123691.8,211589.5,-95605.86,-14420.13,254362,12,517115.5,4548074
526,NASIS,2010IA17980006,27229,-92.469887,41.077477,23.1,75,1.7,Point,4.411123,4.490021,0.001302,5.840846,24.45624,3,-97090.11,236969.9,-86938.2,2900,281346.9,16,544515.5,4547474
527,NASIS,2010IA17980004,27485,-92.40036,41.033188,18.799999,77.800003,3.4,Point,14.722573,3.139984,0.001184,6.594128,28.71349,3,-92812.98,244292.5,-88236.1,2475.884,286369.4,16,550415.5,4542574
528,NASIS,2010IA10180005,31966,-91.717453,41.062485,18.7,60,21.099999,Point,6.307407,9.920013,-0.000071,6.833395,30.84673,3,-39760.41,296771.6,-39231.11,36057.32,343626.8,16,607715.5,4546474
529,NASIS,1990IA101084,33071,-91.755845,41.062611,2,0,98,Point,2.488585,-0.219971,0.000228,12.45334,1.910797,2,-42349.14,293724.9,-41667.73,34413.52,340458.1,16,604515.5,4546474
530,NASIS,1984IA039003,30895,-93.996061,41.133475,25.299999,44.700001,30,Point,6.255674,-2.75,-0.000853,7.133645,9.845764,3,-200368.7,118652.8,-134790.3,-58837.49,154803.2,13,416415.5,4554074
531,NASIS,1986IA039002,31502,-93.98925,41.103225,37,61.299999,1.7,Point,3.742532,5.540039,0.001639,7.386693,29.95279,3,-201941.4,120097.7,-137063.9,-61388.11,154832.8,13,416915.5,4550674
532,NCSS,S2013IA039001,5/15/2013,-93.977416,41.088787,29.3,31.6,39.1,Point,10.623154,0.919983,0.000585,7.041795,21.39221,3,-202082.8,121533.3,-137668.7,-62219.77,155632.8,13,417915.5,4549074
533,NASIS,1984IA039056,30921,-93.838583,41.121797,33.799999,63.299999,2.9,Point,3.695212,-0.23999,0.000477,8.332183,34.13904,3,-190646.2,131781.8,-127781.1,-53761.79,167671.3,13,429615.5,4552574
534,NASIS,Armstrong-IA039-02-01,39708,-93.666664,41.098888,28,67,5,Point,4.67861,7.72998,0.00058,5.464899,18.79602,3,-181192.4,146372.6,-122174.5,-47899.58,181675.3,12,444015.5,4549974
535,NASIS,1988IA117001,41436,-93.156188,41.129097,19.799999,24.4,<Null>,Point,6.371558,-6.380005,-0.001412,6.179266,12.22455,3,-149177.3,182256.1,-101387.7,-29062.17,224669.9,12,486915.5,4553074
536,NCSS,S1995IA135002,6/1/1995,-93.051666,41.111668,29.7,62.4,7.9,Point,5.259643,0.610046,-0.001066,8.016445,40.16632,3,-144377.2,190871,-99652.59,-24476.11,233159.4,12,495615.5,4551174
537,NCSS,S1995IA135001,8/17/1995,-93.053055,41.111389,34,63.5,2.5,Point,4.043789,7.819946,0.000343,6.750347,43.22005,3,-144490.5,190826.5,-99781.86,-24617.47,233051.2,12,495515.5,4551174
538,NASIS,2010IA17980001,27546,-92.511475,41.127972,17.1,79.699997,3.2,Point,1.102994,8.589996,0.00045,10.0476,37.33734,1,-99277.09,231649.9,-82404.01,4743.417,278562.2,16,541015.5,4553074
539,NASIS,2010IA101001,40365,-92.150131,41.127559,29.5,68.400002,2.1,Point,2.938535,2.240021,-0.000339,6.73637,11.65761,3,-69700,260069.1,-64811.5,23623.72,308748.2,16,571315.5,4553274
540,NASIS,1989IA051052,32730,-91.933088,41.125671,20,50,30,Point,5.137412,0.529999,0.000736,5.976648,7.796661,3,-52376.04,277367.1,-49247.64,33800,326678.2,16,589515.5,4553274
